accession,length,description
KO455186.1,87,"MI14529-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465418.1,87,"MI15535-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO488263.1,87,"MI11232-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779656.1,86,"MI10744-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465183.1,86,"MI14664-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG816862.1,86,"MI11985-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455229.1,86,"MI14614-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455118.1,86,"MI14354-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779928.1,86,"MI11802-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_001758.1,86,"Drosophila melanogaster snoRNA:U29:54Eb (snoRNA:U29:54Eb), snoRNA"
KO455375.1,86,"MI15057-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455014.1,86,"MI14162-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455025.1,86,"MI14189-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048131.1,86,"Drosophila melanogaster mir-990 precursor RNA (mir-990), miRNA"
NR_047823.1,86,"Drosophila melanogaster mir-985 precursor RNA (mir-985), miRNA"
NR_003849.1,86,"Drosophila melanogaster snoRNA:Me28S-A2634c (snoRNA:Me28S-A2634c), snoRNA"
KO454016.1,86,"MI13533-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718295.1,86,"InSITE_416 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KS718571.1,86,"InSITE_5036 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG816945.1,86,"MI11332-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
MN654365.1,85,"Drosophila melanogaster Dm1 sbRNA (Dm1), complete sequence"
KG961364.1,85,"MI12420-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465237.1,85,"MI15117-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455294.1,85,"MI14771-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779657.1,85,"MI10747-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_167817.1,85,"Drosophila melanogaster stem-bulge RNA 1 (sbRNA:1), ncRNA"
KO465235.1,85,"MI15091-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG960151.1,85,"MI09011-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003803.1,85,"Drosophila melanogaster snoRNA:Me28S-G2703c (snoRNA:Me28S-G2703c), snoRNA"
KG960280.1,85,"MI12165-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003892.1,85,"Drosophila melanogaster snoRNA:Me18S-C1096 (snoRNA:Me18S-C1096), snoRNA"
KG817068.1,85,"MI12111-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047969.1,85,"Drosophila melanogaster mir-306 precursor RNA (mir-306), miRNA"
KO455026.1,85,"MI14190-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003787.1,85,"Drosophila melanogaster snoRNA:Me28S-G3255a (snoRNA:Me28S-G3255a), snoRNA"
KG816962.1,85,"MI11389-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718320.1,85,"InSITE_725 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO454881.1,85,"MI06239-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961740.1,85,"MI12366-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718453.1,85,"InSITE_2287 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_003842.1,84,"Drosophila melanogaster snoRNA:Me28S-G3113b (snoRNA:Me28S-G3113b), snoRNA"
KG963340.1,84,"MI12410-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047806.1,84,"Drosophila melanogaster mir-4957 precursor RNA (mir-4957), miRNA"
KG816828.1,84,"MI11750-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816971.1,84,"MI11411-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG963351.1,84,"MI12463-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455083.1,84,"MI14304-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048297.1,84,"Drosophila melanogaster mir-315 precursor RNA (mir-315), miRNA"
KO465203.1,84,"MI14808-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048171.1,84,"Drosophila melanogaster mir-311 precursor RNA (mir-311), miRNA"
NR_003831.1,84,"Drosophila melanogaster snoRNA:Me28S-G1083a (snoRNA:Me28S-G1083a), snoRNA"
NR_003893.1,84,"Drosophila melanogaster snoRNA:Me18S-A425 (snoRNA:Me18S-A425), snoRNA"
NR_001955.1,84,"Drosophila melanogaster snoRNA:U49:66Db (snoRNA:U49:66Db), snoRNA"
KG960192.1,83,"MI11745-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG777732.1,83,"MI11120-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779661.1,83,"MI10754-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455207.1,83,"MI14576-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048010.1,83,"Drosophila melanogaster mir-2b-2 precursor RNA (mir-2b-2), miRNA"
NR_003834.1,83,"Drosophila melanogaster snoRNA:Me28S-G1083d (snoRNA:Me28S-G1083d), snoRNA"
KO455022.1,83,"MI14175-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003832.1,83,"Drosophila melanogaster snoRNA:Me28S-G1083b (snoRNA:Me28S-G1083b), snoRNA"
NR_003833.1,83,"Drosophila melanogaster snoRNA:Me28S-G1083c (snoRNA:Me28S-G1083c), snoRNA"
KG816867.1,83,"MI12061-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718220.1,82,"d07124-3prime Exelixis P element XP insertions Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048156.1,82,"Drosophila melanogaster mir-6-1 precursor RNA (mir-6-1), miRNA"
KS718512.1,82,"InSITE_4039 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KS718399.1,82,"InSITE_2071 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_163220.1,82,"Drosophila melanogaster snoRNA:Orphan H/ACA box 7 (snoRNA:Or-ACA7), snoRNA"
KG779873.1,82,"MI11587-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG779791.1,82,"MI11349-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG960211.1,82,"MI11904-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465525.1,82,"MI15736-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455315.1,82,"MI14879-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG960295.1,82,"MI12235-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961574.1,82,"MI13308-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718347.1,82,"InSITE_1064 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_003790.1,82,"Drosophila melanogaster snoRNA:Me28S-G3255b (snoRNA:Me28S-G3255b), snoRNA"
KS718351.1,81,"InSITE_1192 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_001639.1,81,"Drosophila melanogaster snoRNA:U14:30Ea (snoRNA:U14:30Ea), snoRNA"
KO488214.1,81,"MI13244-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048212.1,81,"Drosophila melanogaster mir-ban precursor RNA (mir-ban), miRNA"
NR_001638.1,81,"Drosophila melanogaster snoRNA:U14:30Eb (snoRNA:U14:30Eb), snoRNA"
KO455209.1,81,"MI14585-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455056.1,81,"MI14250-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003750.1,81,"Drosophila melanogaster snoRNA:Me28S-U3344b (snoRNA:Me28S-U3344b), snoRNA"
KO455100.1,81,"MI14325-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003850.1,81,"Drosophila melanogaster snoRNA:Me28S-A2634b (snoRNA:Me28S-A2634b), snoRNA"
KO454117.1,81,"MI13830-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718360.1,81,"InSITE_1323 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG816884.1,81,"MI12128-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048160.1,81,"Drosophila melanogaster mir-4 precursor RNA (mir-4), miRNA"
KG960274.1,81,"MI12154-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718403.1,80,"InSITE_2080 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KS718559.1,80,"InSITE_4112 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_048150.1,80,"Drosophila melanogaster mir-6-3 precursor RNA (mir-6-3), miRNA"
NR_003795.1,80,"Drosophila melanogaster snoRNA:Me28S-C3227a (snoRNA:Me28S-C3227a), snoRNA"
NR_003843.1,80,"Drosophila melanogaster snoRNA:Me28S-G3113a (snoRNA:Me28S-G3113a), snoRNA"
KG961401.1,80,"MI12543-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816757.1,80,"MI11439-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816888.1,80,"MI12134-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003796.1,80,"Drosophila melanogaster snoRNA:Me28S-C3227b (snoRNA:Me28S-C3227b), snoRNA"
KO455007.1,80,"MI14116-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO455096.1,80,"MI14320-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_001954.1,80,"Drosophila melanogaster snoRNA:U49:66Da (snoRNA:U49:66Da), snoRNA"
NR_003797.1,80,"Drosophila melanogaster snoRNA:Me28S-U1848 (snoRNA:Me28S-U1848), snoRNA"
KG817027.1,80,"MI11927-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
JAEMNL000000000.1,80,"Drosophila melanogaster strain cross DK_Jut_15 8, whole genome shotgun sequencing project"
KO455282.1,80,"MI14744-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718385.1,80,"InSITE_2028 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO488193.1,80,"MI11640-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
6PE2_K,79,"Chain K, DNA (56-MER)"
6PE2_E,79,"Chain E, DNA (56-MER)"
6P5A_K,79,"Chain K, DNA (44-MER)"
6P5A_E,79,"Chain E, DNA (44-MER)"
KG961549.1,79,"MI13242-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003874.1,79,"Drosophila melanogaster snoRNA:Me18S-U1356a (snoRNA:Me18S-U1356a), snoRNA"
NR_003876.1,79,"Drosophila melanogaster snoRNA:Me18S-U1356c (snoRNA:Me18S-U1356c), snoRNA"
KG961823.1,79,"MI12726-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003875.1,79,"Drosophila melanogaster snoRNA:Me18S-U1356b (snoRNA:Me18S-U1356b), snoRNA"
KO454198.1,79,"MI14075-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779911.1,79,"MI11764-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO465201.1,79,"MI14793-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455278.1,79,"MI14737-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961294.1,79,"MI12250-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961282.1,79,"MI12225-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003751.1,79,"Drosophila melanogaster snoRNA:Me28S-U3344a (snoRNA:Me28S-U3344a), snoRNA"
KG960122.1,79,"f04222-5prime Exelixis piggyBac WH insertions Drosophila melanogaster genomic 5', genomic survey sequence"
KG961493.1,79,"MI12934-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961473.1,79,"MI12866-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003861.1,78,"Drosophila melanogaster snoRNA:Me18S-A1806 (snoRNA:Me18S-A1806), snoRNA"
KG961388.1,78,"MI12517-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048299.1,78,"Drosophila melanogaster mir-9a precursor RNA (mir-9a), miRNA"
KG960130.1,78,"f06779-5prime Exelixis piggyBac WH insertions Drosophila melanogaster genomic 5', genomic survey sequence"
NR_001980.1,78,"Drosophila melanogaster snoRNA:Me28S-G764 (snoRNA:Me28S-G764), snoRNA"
NR_003804.1,78,"Drosophila melanogaster snoRNA:Or-CD4 (snoRNA:Or-CD4), snoRNA"
KO455142.1,78,"MI14418-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO487978.1,78,"MI01842-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454048.1,78,"MI13657-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003852.1,78,"Drosophila melanogaster snoRNA:Or-CD12 (snoRNA:Or-CD12), snoRNA"
NR_047998.1,78,"Drosophila melanogaster mir-let7 precursor RNA (mir-let7), miRNA"
KO454851.1,78,"MI13828-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718277.1,78,"InSITE_234 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG816922.1,78,"MI11276-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_002476.1,78,"Drosophila melanogaster snoRNA:684 (snoRNA:684), snoRNA"
KG779858.1,78,"MI11573-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455389.1,78,"MI15114-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047924.1,77,"Drosophila melanogaster mir-2b-1 precursor RNA (mir-2b-1), miRNA"
NR_003887.1,77,"Drosophila melanogaster snoRNA:Me28S-U2134b (snoRNA:Me28S-U2134b), snoRNA"
KO465347.1,77,"MI15411-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465291.1,77,"MI15301-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455063.1,77,"MI14268-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003788.1,77,"Drosophila melanogaster snoRNA:Me28S-A982a (snoRNA:Me28S-A982a), snoRNA"
KG960072.1,77,"c06585-5prime Exelixis piggyBac PB insertions Drosophila melanogaster genomic 5', genomic survey sequence"
NR_001763.1,77,"Drosophila melanogaster snoRNA:Me28S-G3277a (snoRNA:Me28S-G3277a), snoRNA"
NR_003789.1,77,"Drosophila melanogaster snoRNA:Me28S-A982b (snoRNA:Me28S-A982b), snoRNA"
NR_047804.1,77,"Drosophila melanogaster mir-4917 precursor RNA (mir-4917), miRNA"
KG816883.1,77,"MI12120-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961884.1,77,"MI13214-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_144676.1,77,"Drosophila melanogaster mir-9380 precursor RNA (mir-9380), miRNA"
KS718556.1,77,"InSITE_4109 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_001769.1,77,"Drosophila melanogaster snoRNA:snR38:54Ec (snoRNA:snR38:54Ec), snoRNA"
NR_002475.1,77,"Drosophila melanogaster small non-coding RNA 357 (sncRNA:357), ncRNA"
NR_048336.1,77,"Drosophila melanogaster mir-10 precursor RNA (mir-10), miRNA"
NR_003853.1,77,"Drosophila melanogaster snoRNA:Me28S-C3351 (snoRNA:Me28S-C3351), snoRNA"
KG961727.1,77,"MI04838-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG817037.1,77,"MI11972-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048353.1,76,"Drosophila melanogaster mir-2283 precursor RNA (mir-2283), miRNA"
KG817018.1,76,"MI11896-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003798.1,76,"Drosophila melanogaster snoRNA:Me18S-G1952 (snoRNA:Me18S-G1952), snoRNA"
KG817009.1,76,"MI11830-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961717.1,76,"MI01914-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718464.1,76,"InSITE_2311 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG963453.1,76,"MI13182-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_144663.1,76,"Drosophila melanogaster mir-9376 precursor RNA (mir-9376), miRNA"
NR_048008.1,76,"Drosophila melanogaster mir-2a-1 precursor RNA (mir-2a-1), miRNA"
KG963449.1,76,"MI13177-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO454146.1,76,"MI13898-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718204.1,76,"c01259-5prime Exelixis piggyBac PB insertions Drosophila melanogaster genomic 5', genomic survey sequence"
KO455076.1,76,"MI14290-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048258.1,76,"Drosophila melanogaster mir-3642 precursor RNA (mir-3642), miRNA"
NR_003799.1,76,"Drosophila melanogaster snoRNA:Me18S-A1061 (snoRNA:Me18S-A1061), snoRNA"
KS718349.1,76,"InSITE_1118 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_001764.1,76,"Drosophila melanogaster snoRNA:snR38:54Eb (snoRNA:snR38:54Eb), snoRNA"
KO465162.1,76,"MI14469-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047793.1,76,"Drosophila melanogaster mir-2492 precursor RNA (mir-2492), miRNA"
KO465495.1,76,"MI15669-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG960234.1,76,"MI12005-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003782.1,75,"Drosophila melanogaster snoRNA:Me28S-C2645b (snoRNA:Me28S-C2645b), snoRNA"
3J3C_C,75,"Chain C, E-tRNA"
NR_003781.1,75,"Drosophila melanogaster snoRNA:Me28S-C2645a (snoRNA:Me28S-C2645a), snoRNA"
6XU7_B,75,"Chain B, P-tRNA"
4V6W_BC,75,"Chain BC, E-tRNA"
KG779765.1,75,"MI11140-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003783.1,75,"Drosophila melanogaster snoRNA:Me28S-C2645c (snoRNA:Me28S-C2645c), snoRNA"
KO455313.1,75,"MI14860-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455053.1,75,"MI14236-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003890.1,75,"Drosophila melanogaster snoRNA:Me18S-G1358a (snoRNA:Me18S-G1358a), snoRNA"
NR_003888.1,75,"Drosophila melanogaster snoRNA:Me28S-U2134a (snoRNA:Me28S-U2134a), snoRNA"
NR_003891.1,75,"Drosophila melanogaster snoRNA:Me18S-G1358b (snoRNA:Me18S-G1358b), snoRNA"
KO487951.1,75,"MI00327-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
MQ189226.1,75,Sequence 79 from Patent EP3873505
NR_003845.1,75,"Drosophila melanogaster snoRNA:Me28S-A771 (snoRNA:Me28S-A771), snoRNA"
KG963471.1,75,"MI13321-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO487956.1,75,"MI00815-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO488026.1,75,"MI03577-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718452.1,75,"InSITE_2286 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KO454096.1,75,"MI13776-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465213.1,75,"MI14866-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047696.1,75,"Drosophila melanogaster mir-2490 precursor RNA (mir-2490), miRNA"
KO455316.1,75,"MI14879-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KO465402.1,75,"MI15514-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048453.1,75,"Drosophila melanogaster mir-11 precursor RNA (mir-11), miRNA"
KO455312.1,75,"MI14859-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048401.1,75,"Drosophila melanogaster mir-13a precursor RNA (mir-13a), miRNA"
NR_047813.1,74,"Drosophila melanogaster mir-12 precursor RNA (mir-12), miRNA"
KO454075.1,74,"MI13732-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_002497.1,74,"Drosophila melanogaster small non-coding RNA 419 (sncRNA:419), ncRNA"
KO455365.1,74,"MI15025-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718572.1,74,"InSITE_5037 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG961289.1,74,"MI12246-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO465170.1,74,"MI14551-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG960092.1,74,"e00911-5prime Exelixis piggyBac RB insertions Drosophila melanogaster genomic 5', genomic survey sequence"
NR_002503.1,74,"Drosophila melanogaster snoRNA:291 (snoRNA:291), snoRNA"
NR_048153.1,74,"Drosophila melanogaster mir-6-2 precursor RNA (mir-6-2), miRNA"
KO465310.1,74,"MI15332-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO465358.1,74,"MI15429-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG961843.1,74,"MI13000-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG961807.1,74,"MI12644-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_144664.1,74,"Drosophila melanogaster mir-9381 precursor RNA (mir-9381), miRNA"
KS718526.1,74,"InSITE_4056 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG779673.1,73,"MI10782-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KG779818.1,73,"MI11472-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO455163.1,73,"MI14489-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_002482.1,73,"Drosophila melanogaster small non-coding RNA 838 (sncRNA:838), ncRNA"
NR_001760.1,73,"Drosophila melanogaster snoRNA:U76:54Eb (snoRNA:U76:54Eb), snoRNA"
NR_001757.1,73,"Drosophila melanogaster snoRNA:Me28S-A1666a (snoRNA:Me28S-A1666a), snoRNA"
NR_001718.1,73,"Drosophila melanogaster snoRNA:Me28S-A1322 (snoRNA:Me28S-A1322), snoRNA"
KO455106.1,73,"MI14339-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KS718580.1,73,"InSITE_6115 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG779935.1,73,"MI11827-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KS718353.1,73,"InSITE_1247 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_047918.1,73,"Drosophila melanogaster mir-305 precursor RNA (mir-305), miRNA"
KG961496.1,73,"MI12942-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003851.1,73,"Drosophila melanogaster snoRNA:Me28S-A2634a (snoRNA:Me28S-A2634a), snoRNA"
KS718210.1,73,"c03514-3prime Exelixis piggyBac PB insertions Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003868.1,73,"Drosophila melanogaster snoRNA:Me28S-A774a (snoRNA:Me28S-A774a), snoRNA"
NR_003762.1,73,"Drosophila melanogaster snoRNA:Me28S-A2113 (snoRNA:Me28S-A2113), snoRNA"
NR_003867.1,73,"Drosophila melanogaster snoRNA:Me28S-A774b (snoRNA:Me28S-A774b), snoRNA"
KG961242.1,72,"MI07829-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_002508.1,72,"Drosophila melanogaster snoRNA:Me18S-C1831 (snoRNA:Me18S-C1831), snoRNA"
KO453898.1,72,"MI12856-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_003841.1,72,"Drosophila melanogaster snoRNA:Me28S-C788a (snoRNA:Me28S-C788a), snoRNA"
KG779627.1,72,"MI10627-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_001768.1,72,"Drosophila melanogaster snoRNA:U27:54Eb (snoRNA:U27:54Eb), snoRNA"
KO465343.1,72,"MI15408-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG779614.1,72,"MI09645-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
