accession,length,description
PC401769.1,27,JP 2021524032-A/8: BINDING PROTEINS AND CHIMERIC ANTIGEN RECEPTOR T CELLS TARGETING GASP-1 GRANULES AND USES THEREOF
PD169396.1,27,JP 2022507487-A/16: CD25 ANTIBODIES
PD169399.1,27,JP 2022507487-A/19: CD25 ANTIBODIES
PD169405.1,27,JP 2022507487-A/25: CD25 ANTIBODIES
PD154228.1,27,JP 2022512892-A/15: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PG239002.1,27,JP 2023506925-A/7: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PG110181.1,27,"JP 2022549172-A/25: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG053339.1,27,JP 2022540918-A/65: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC420558.1,27,"JP 2021526833-A/14: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD169387.1,27,JP 2022507487-A/7: CD25 ANTIBODIES
PG053338.1,27,JP 2022540918-A/64: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC420555.1,27,"JP 2021526833-A/11: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD145817.1,27,"JP 2022502369-A/22: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145813.1,27,"JP 2022502369-A/18: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145851.1,27,"JP 2022502369-A/56: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PG110162.1,27,"JP 2022549172-A/6: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG110165.1,27,"JP 2022549172-A/9: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG110159.1,27,"JP 2022549172-A/3: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC434883.1,27,JP 2021534811-A/8: ANTI-HER3 ANTIBODY AND USES THEREOF
PD203314.1,27,JP 2022516848-A/6: BTN3A BINDING PROTEINS AND USES THEREOF
PG110170.1,27,"JP 2022549172-A/14: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC345633.1,27,"JP 2021513345-A/2: Antibody against the endothelin receptor subtype A, and uses thereof"
PG110168.1,27,"JP 2022549172-A/12: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PD154232.1,27,JP 2022512892-A/19: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PG110173.1,27,"JP 2022549172-A/17: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PC420561.1,27,"JP 2021526833-A/17: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC420553.1,27,"JP 2021526833-A/9: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PC493690.1,27,JP 2022502508-A/8: METHODS OF TREATING PERIPHERAL T CELL LYMPHOMA USING ANTI-CD30 ANTIBODY DRUG CONJUGATE THERAPY
PC355098.1,27,JP 2021518397-A/8: USE OF ANTIBODY DRUG CONJUGATES COMPRISING TUBULIN DISRUPTING AGENTS TO TREAT SOLID TUMOR
PG122141.1,27,JP 2023500436-A/16: Vector
PG053302.1,27,JP 2022540918-A/28: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053306.1,27,JP 2022540918-A/32: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053300.1,27,JP 2022540918-A/26: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053299.1,27,JP 2022540918-A/25: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053301.1,27,JP 2022540918-A/27: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG087115.1,27,"JP 2022549495-A/8: COMBINATION ANTI-CD30 ADC, ANTI-PD-1 AND CHEMOTHERAPEUTIC FOR TREATMENT OF HEMATOPEITIC CANCERS"
PD298312.1,26,JP 2022520285-A/12: Therapeutic Agents
PC352326.1,26,JP 2021513871-A/30: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PD154227.1,26,JP 2022512892-A/14: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PD298302.1,26,JP 2022520285-A/2: Therapeutic Agents
PC371216.1,25,JP 2021521201-A/26: Antibodies
PD154222.1,25,JP 2022512892-A/9: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PC461120.1,25,JP 2021534799-A/2: TARGETING KIT WITH SPLICE SWITCHING OLIGONUCLEOTIDES TO INDUCE APOPTOSIS OF MAST CELLS AND APPLICATIONS FOR SELECTIVE TARGETING OF MAST CELLS AND KIT-RELATED NEOPLASTIC DISEASES
PD154229.1,25,JP 2022512892-A/16: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PC371213.1,25,JP 2021521201-A/23: Antibodies
PG191592.1,25,JP 2023502780-A/328: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG380611.1,25,JP 2023519518-A/32: ANTISENSE OLIGOMERS FOR TREATMENT OF DISEASE
PG349465.1,25,JP 2023516300-A/335: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PC352324.1,25,JP 2021513871-A/28: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PG349458.1,25,JP 2023516300-A/328: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PD145818.1,24,"JP 2022502369-A/23: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145815.1,24,"JP 2022502369-A/20: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PC420564.1,24,"JP 2021526833-A/20: APJ ANTIBODY, FUSION PROTEIN THEREOF WITH ELABELA, AND PHARMACEUTICAL COMPOSITIONS AND USE THEREOF"
PD169389.1,24,JP 2022507487-A/9: CD25 ANTIBODIES
PD169383.1,24,JP 2022507487-A/3: CD25 ANTIBODIES
PD206840.1,24,JP 2022515211-A/18: Small RNA
PD169382.1,24,JP 2022507487-A/2: CD25 ANTIBODIES
8VHG_D,24,"Chain D, Structure of the BMAL1/HIF2A heterodimer in Complex with DNA"
PC352325.1,24,JP 2021513871-A/29: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PC345634.1,24,"JP 2021513345-A/3: Antibody against the endothelin receptor subtype A, and uses thereof"
PD169407.1,24,JP 2022507487-A/27: CD25 ANTIBODIES
PG382033.1,24,JP 2023517117-A/9: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for the treatment or alleviation of skin ulcer and the use thereof
PD206825.1,24,JP 2022515211-A/3: Small RNA
PD145816.1,24,"JP 2022502369-A/21: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD169390.1,24,JP 2022507487-A/10: CD25 ANTIBODIES
PG053324.1,24,JP 2022540918-A/50: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053325.1,24,JP 2022540918-A/51: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PD298304.1,24,JP 2022520285-A/4: Therapeutic Agents
PD145819.1,24,"JP 2022502369-A/24: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145798.1,24,"JP 2022502369-A/3: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145797.1,24,"JP 2022502369-A/2: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145820.1,24,"JP 2022502369-A/25: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145796.1,24,"JP 2022502369-A/1: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145810.1,24,"JP 2022502369-A/15: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145809.1,24,"JP 2022502369-A/14: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145808.1,24,"JP 2022502369-A/13: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD145814.1,24,"JP 2022502369-A/19: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PC371221.1,24,JP 2021521201-A/31: Antibodies
PG053319.1,24,JP 2022540918-A/45: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG053308.1,24,JP 2022540918-A/34: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG122552.1,24,JP 2022552870-A/15: Adenovirus comprising a modified adenovirus hexon protein
PG122553.1,24,JP 2022552870-A/16: Adenovirus comprising a modified adenovirus hexon protein
PC493686.1,24,JP 2022502508-A/4: METHODS OF TREATING PERIPHERAL T CELL LYMPHOMA USING ANTI-CD30 ANTIBODY DRUG CONJUGATE THERAPY
PC352336.1,24,JP 2021513871-A/40: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PC355094.1,24,JP 2021518397-A/4: USE OF ANTIBODY DRUG CONJUGATES COMPRISING TUBULIN DISRUPTING AGENTS TO TREAT SOLID TUMOR
PG122140.1,24,JP 2023500436-A/15: Vector
PG122143.1,24,JP 2023500436-A/18: Vector
PG122144.1,24,JP 2023500436-A/19: Vector
PD169401.1,24,JP 2022507487-A/21: CD25 ANTIBODIES
PD145847.1,24,"JP 2022502369-A/52: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PD169402.1,24,JP 2022507487-A/22: CD25 ANTIBODIES
PD169391.1,24,JP 2022507487-A/11: CD25 ANTIBODIES
PD145848.1,24,"JP 2022502369-A/53: CONFORMATION-SPECIFIC EPITOPES IN ALPHA-SYNUCLEIN, ANTIBODIES THERETO AND METHODS RELATED THEREOF"
PG238999.1,24,JP 2023506925-A/4: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PG087111.1,24,"JP 2022549495-A/4: COMBINATION ANTI-CD30 ADC, ANTI-PD-1 AND CHEMOTHERAPEUTIC FOR TREATMENT OF HEMATOPEITIC CANCERS"
PG116715.1,24,JP 2022550608-A/22: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
8VHG_C,24,"Chain C, Structure of the BMAL1/HIF2A heterodimer in Complex with DNA"
PD206841.1,24,JP 2022515211-A/19: Small RNA
PD164740.1,24,JP 2022513336-A/25: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD206827.1,24,JP 2022515211-A/5: Small RNA
PD206834.1,23,JP 2022515211-A/12: Small RNA
PD206833.1,23,JP 2022515211-A/11: Small RNA
PD206832.1,23,JP 2022515211-A/10: Small RNA
PD206831.1,23,JP 2022515211-A/9: Small RNA
PD206828.1,23,JP 2022515211-A/6: Small RNA
PG382056.1,23,JP 2023517118-A/16: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PD206839.1,23,JP 2022515211-A/17: Small RNA
PG382061.1,23,JP 2023517118-A/21: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG116714.1,23,JP 2022550608-A/21: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116728.1,23,JP 2022550608-A/35: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PD164729.1,23,JP 2022513336-A/14: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG116713.1,23,JP 2022550608-A/20: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116700.1,23,JP 2022550608-A/7: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116701.1,23,JP 2022550608-A/8: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116698.1,23,JP 2022550608-A/5: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116712.1,23,JP 2022550608-A/19: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116710.1,23,JP 2022550608-A/17: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116718.1,23,JP 2022550608-A/25: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116709.1,23,JP 2022550608-A/16: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116719.1,23,JP 2022550608-A/26: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116705.1,23,JP 2022550608-A/12: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116699.1,23,JP 2022550608-A/6: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116704.1,23,JP 2022550608-A/11: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116696.1,23,JP 2022550608-A/3: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116185.1,23,JP 2022551087-A/36: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116163.1,23,JP 2022551087-A/14: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116177.1,23,JP 2022551087-A/28: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD152657.1,23,JP 2022505173-A/78: Compositions and Methods for Delivering Transgenes
PG382050.1,23,JP 2023517118-A/10: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG384959.1,23,JP 2023518294-A/25: ATTENUATED MYCOPLASMA BACTERIA
PC352333.1,23,JP 2021513871-A/37: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PC371229.1,23,JP 2021521201-A/39: Antibodies
PG333071.1,23,JP 2023507034-A/28: Fusion Protein that Improves Gene Editing Efficiency and Application Thereof
PD154233.1,23,JP 2022512892-A/20: METHODS AND COMPOSITIONS FOR IMAGING AMYLOID DEPOSITS
PH015019.1,23,"JP 2023522022-A/36: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PG116729.1,23,JP 2022550608-A/36: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116716.1,23,JP 2022550608-A/23: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116725.1,22,JP 2022550608-A/32: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116726.1,22,JP 2022550608-A/33: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG384955.1,22,JP 2023518294-A/21: ATTENUATED MYCOPLASMA BACTERIA
PD164734.1,22,JP 2022513336-A/19: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG116727.1,22,JP 2022550608-A/34: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG384957.1,22,JP 2023518294-A/23: ATTENUATED MYCOPLASMA BACTERIA
PG116702.1,22,JP 2022550608-A/9: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116703.1,22,JP 2022550608-A/10: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116183.1,22,JP 2022551087-A/34: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116694.1,22,JP 2022550608-A/1: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116695.1,22,JP 2022550608-A/2: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116722.1,22,JP 2022550608-A/29: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PD164733.1,22,JP 2022513336-A/18: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164732.1,22,JP 2022513336-A/17: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164722.1,22,JP 2022513336-A/7: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164727.1,22,JP 2022513336-A/12: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164718.1,22,JP 2022513336-A/3: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164736.1,22,JP 2022513336-A/21: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG382063.1,22,JP 2023517118-A/23: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG382065.1,22,JP 2023517118-A/25: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG382064.1,22,JP 2023517118-A/24: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PG116721.1,22,JP 2022550608-A/28: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116720.1,22,JP 2022550608-A/27: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116708.1,22,JP 2022550608-A/15: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116707.1,22,JP 2022550608-A/14: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116706.1,22,JP 2022550608-A/13: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116697.1,22,JP 2022550608-A/4: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116711.1,22,JP 2022550608-A/18: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116724.1,22,JP 2022550608-A/31: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116723.1,22,JP 2022550608-A/30: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG116182.1,22,JP 2022551087-A/33: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116173.1,22,JP 2022551087-A/24: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG054489.1,22,JP 2022545861-A/112: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054488.1,22,JP 2022545861-A/111: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PC356210.1,22,JP 2021519067-A/4: GENE EDITING FOR AUTOSOMAL DOMINANT DISEASES
PG054491.1,22,JP 2022545861-A/114: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054490.1,22,JP 2022545861-A/113: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG116717.1,22,JP 2022550608-A/24: ZINC FINGER PROTEIN TRANSCRIPTION FACTORS FOR TREATMENT OF PRION DISEASE
PG054522.1,22,JP 2022545861-A/145: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054521.1,22,JP 2022545861-A/144: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054520.1,22,JP 2022545861-A/143: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054519.1,22,JP 2022545861-A/142: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054478.1,22,JP 2022545861-A/101: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054486.1,22,JP 2022545861-A/109: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054485.1,22,JP 2022545861-A/108: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054484.1,22,JP 2022545861-A/107: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054483.1,22,JP 2022545861-A/106: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054482.1,22,JP 2022545861-A/105: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054487.1,22,JP 2022545861-A/110: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG116157.1,22,JP 2022551087-A/8: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116156.1,22,JP 2022551087-A/7: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116155.1,22,JP 2022551087-A/6: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG054524.1,22,JP 2022545861-A/147: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054523.1,22,JP 2022545861-A/146: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054656.1,22,JP 2022545861-A/279: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054655.1,22,JP 2022545861-A/278: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054654.1,22,JP 2022545861-A/277: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054653.1,22,JP 2022545861-A/276: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054652.1,22,JP 2022545861-A/275: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054651.1,22,JP 2022545861-A/274: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054502.1,22,JP 2022545861-A/125: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054501.1,22,JP 2022545861-A/124: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054500.1,22,JP 2022545861-A/123: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054499.1,22,JP 2022545861-A/122: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054498.1,22,JP 2022545861-A/121: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054497.1,22,JP 2022545861-A/120: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054496.1,22,JP 2022545861-A/119: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054495.1,22,JP 2022545861-A/118: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
PG054510.1,22,JP 2022545861-A/133: METHODS TO REPROGRAM SOMATIC CELLS TO ALTERNATIVE CELL FATES OR PRIMITIVE CELL STATES
